ticker,industry,index
AMZN,Internet,DJUSNS
META,Internet,DJUSNS
BABA,Internet,DJUSNS
NFLX,Internet,DJUSNS
PDD,Internet,DJUSNS
MELI,Internet,DJUSNS
LULU,Internet,DJUSNS
BIDU,Internet,DJUSNS
CSGP,Internet,DJUSNS
SE,Internet,DJUSNS
CPNG,Internet,DJUSNS
IT,Internet,DJUSNS
EBAY,Internet,DJUSNS
DASH,Internet,DJUSNS
VRSN,Internet,DJUSNS
CHWY,Internet,DJUSNS
PINS,Internet,DJUSNS
CHKP,Internet,DJUSNS
ETSY,Internet,DJUSNS
SPOT,Internet,DJUSNS
TME,Internet,DJUSNS
MTCH,Internet,DJUSNS
XP,Internet,DJUSNS
VIPS,Internet,DJUSNS
DOCS,Internet,DJUSNS
BZ,Internet,DJUSNS
SGFY,Internet,DJUSNS
LU,Internet,DJUSNS
IAC,Internet,DJUSNS
ZD,Internet,DJUSNS
ATHM,Internet,DJUSNS
GLBE,Internet,DJUSNS
AFRM,Internet,DJUSNS
MMYT,Internet,DJUSNS
WOOF,Internet,DJUSNS
BRZE,Internet,DJUSNS
GDRX,Internet,DJUSNS
GETY,Internet,DJUSNS
YELP,Internet,DJUSNS
COUR,Internet,DJUSNS
RVLV,Internet,DJUSNS
ZIP,Internet,DJUSNS
SSTK,Internet,DJUSNS
VZIO,Internet,DJUSNS
FTCH,Internet,DJUSNS
CARG,Internet,DJUSNS
UPST,Internet,DJUSNS
IQ,Internet,DJUSNS
ACVA,Internet,DJUSNS
JNJ,Pharmaceuticals,DJUSPR
LLY,Pharmaceuticals,DJUSPR
PFE,Pharmaceuticals,DJUSPR
ABBV,Pharmaceuticals,DJUSPR
MRK,Pharmaceuticals,DJUSPR
BMY,Pharmaceuticals,DJUSPR
REGN,Pharmaceuticals,DJUSPR
VRTX,Pharmaceuticals,DJUSPR
ZTS,Pharmaceuticals,DJUSPR
IDXX,Pharmaceuticals,DJUSPR
ALNY,Pharmaceuticals,DJUSPR
RPRX,Pharmaceuticals,DJUSPR
HZNP,Pharmaceuticals,DJUSPR
SGEN,Pharmaceuticals,DJUSPR
INCY,Pharmaceuticals,DJUSPR
VTRS,Pharmaceuticals,DJUSPR
UTHR,Pharmaceuticals,DJUSPR
NBIX,Pharmaceuticals,DJUSPR
SRPT,Pharmaceuticals,DJUSPR
RGEN,Pharmaceuticals,DJUSPR
JAZZ,Pharmaceuticals,DJUSPR
LEGN,Pharmaceuticals,DJUSPR
CTLT,Pharmaceuticals,DJUSPR
OGN,Pharmaceuticals,DJUSPR
KRTX,Pharmaceuticals,DJUSPR
ASND,Pharmaceuticals,DJUSPR
APLS,Pharmaceuticals,DJUSPR
IONS,Pharmaceuticals,DJUSPR
ITCI,Pharmaceuticals,DJUSPR
ROIV,Pharmaceuticals,DJUSPR
PRGO,Pharmaceuticals,DJUSPR
CERE,Pharmaceuticals,DJUSPR
